"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
NA,0.5010939,1.8019053,NA,1.2124856,0.3293599,-0.3649767,1.7790442,1.9851665,-1.6172458,1.3187979,0.3267892,-0.2290421,-0.0697708,1.1607835,-0.3724771,0.2636112,1.8914444
0.7743707,0.1533415,-0.9537714,0.8217348,-0.1343794,0.5961686,0.4090791,0.677735,1.6642711,0.5609396,0.9925363,0.2093927,-1.2779897,0.0019916,0.5091893,0.5267869,0.0550002,0.0593194
-0.302402,0.1664294,-0.409851,0.9464417,-0.1767129,NA,1.5803231,0.7172415,1.1302535,1.2645636,0.081399,-0.1716626,0.0696491,0.8528173,0.4191522,0.1028617,0.0077481,-0.3517846
0.2928014,1.9763838,-0.7608322,-1.2532162,1.6057242,-0.0126748,-0.2145334,-0.3022993,-1.7116989,-0.769945,0.7613563,-0.0945413,0.629352,-0.6185089,-0.932635,-0.5050512,-0.3182458,-0.5050932
-0.1309833,0.2654472,1.3780489,-0.1595836,-0.1067907,-0.5722039,-1.7438244,-0.3063829,-0.9080731,-1.2095208,0.2835859,0.1495178,-0.5075959,0.0789835,-0.1267769,0.5248604,-0.7574442,0.6719133
0.0162552,0.7923674,1.6817597,1.4895851,1.4147631,1.9198756,1.2361487,0.7310011,0.746582,0.9086584,0.9895311,-0.3024608,0.2182621,-0.2993111,-0.3183919,1.4070398,0.4905327,0.5616944
0.4871104,-1.2222264,0.0982764,-0.8671209,0.1457855,-1.3694052,0.7916383,-0.1462837,-0.5906494,0.5462994,0.2359434,-0.5277375,-0.5790172,-0.1488581,0.268663,0.2844012,0.5081059,2.0327725
-0.8608408,-0.6351977,-1.1626855,0.2749456,1.2712242,0.7240258,0.3915507,-0.691721,0.1666268,0.0024063,-0.5135765,0.1546529,-0.2905054,-0.1835775,0.5442638,0.7637435,-0.3230128,1.1126949
-1.1674844,-2.0367934,0.4732353,-1.3132863,-1.4135735,-1.8336251,-0.6448027,-2.2079684,-1.52527,-0.3734322,-0.0611634,-0.0359272,1.0885697,-0.6657219,-0.3336985,-1.2713775,0.3292106,-0.3424647
-1.3905023,-0.8286617,-0.530127,-0.5114877,-0.3117913,-0.4780162,0.3978951,-0.1406342,0.9683494,-0.6640798,-0.7033173,0.8492486,-0.0494591,0.0580277,-1.783818,-2.81073,-0.1640192,-0.027494
-1.4367054,-1.0863606,-0.9683722,-1.602339,-0.0692781,-0.3114004,-0.6306278,-0.3758453,-1.0264476,-1.4623954,-1.0078104,0.194692,0.1136384,-1.2451724,-0.3390097,0.1287328,-0.3387187,-0.285803
